,lang,task,pattern,TP,FP,TN,FN,P,R,F1
57,en,temporal1,P1|P2|NEG|N1|N2,130,0,181,295,1.0,0.3058823529411765,0.4684684684684685
58,en,temporal2,P1,247,216,149,0,0.5334773218142549,1.0,0.695774647887324
59,en,temporal2,P1|N1,247,11,354,0,0.9573643410852714,1.0,0.9782178217821783
60,en,temporal2,P1|N2,247,197,168,0,0.5563063063063063,1.0,0.7149059334298119
61,en,temporal2,P1|N1|N2,247,11,354,0,0.9573643410852714,1.0,0.9782178217821783
62,en,temporal2,P1|P2|NEG,111,56,309,136,0.6646706586826348,0.4493927125506073,0.536231884057971
63,en,temporal2,P1|P2|NEG|N1,111,0,365,136,1.0,0.4493927125506073,0.6201117318435754
64,en,temporal2,P1|P2|NEG|N2,111,56,309,136,0.6646706586826348,0.4493927125506073,0.536231884057971
65,en,temporal2,P1|P2|NEG|N1|N2,111,0,365,136,1.0,0.4493927125506073,0.6201117318435754
66,en,comparative1,P1|NEG,559,278,327,54,0.6678614097968937,0.9119086460032626,0.7710344827586206
67,en,comparative1,P1|NEG|N1,533,0,605,80,1.0,0.8694942903752039,0.9301919720767888
68,en,comparative1,P1|NEG|N2,559,69,536,54,0.8901273885350318,0.9119086460032626,0.9008863819500402
69,en,comparative1,P1|NEG|N1|N2,533,0,605,80,1.0,0.8694942903752039,0.9301919720767888
70,en,comparative1,P1|P2|NEG,28,69,536,585,0.28865979381443296,0.04567699836867863,0.07887323943661972
71,en,comparative1,P1|P2|NEG|N1,2,0,605,611,1.0,0.0032626427406199023,0.0065040650406504065
72,en,comparative1,P1|P2|NEG|N2,28,69,536,585,0.28865979381443296,0.04567699836867863,0.07887323943661972
73,en,comparative1,P1|P2|NEG|N1|N2,2,0,605,611,1.0,0.0032626427406199023,0.0065040650406504065
74,en,comparative2,P1|NEG,65,4,651,0,0.9420289855072463,1.0,0.9701492537313433
75,en,comparative2,P1|NEG|N1,65,3,652,0,0.9558823529411765,1.0,0.9774436090225563
76,en,comparative2,P1|P2|NEG,11,3,652,54,0.7857142857142857,0.16923076923076924,0.2784810126582279
77,en,comparative2,P1|P2|NEG|N1,11,2,653,54,0.8461538461538461,0.16923076923076924,0.28205128205128205
78,ja_fam,negation1,P1,107,40,453,0,0.7278911564625851,1.0,0.84251968503937
79,ja_fam,negation1,P1|N1,60,18,475,47,0.7692307692307693,0.5607476635514018,0.6486486486486486
80,ja_fam,negation1,P1|P2|NEG,14,8,485,93,0.6363636363636364,0.1308411214953271,0.21705426356589144
81,ja_fam,negation1,P1|P2|NEG|N1,14,8,485,93,0.6363636363636364,0.1308411214953271,0.21705426356589144
82,ja_fam,negation2,P1,113,39,448,0,0.743421052631579,1.0,0.8528301886792453
83,ja_fam,negation2,P1|N1,70,26,461,43,0.7291666666666666,0.6194690265486725,0.6698564593301435
84,ja_fam,negation2,P1|P2|NEG,3,0,487,110,1.0,0.02654867256637168,0.05172413793103448
85,ja_fam,negation2,P1|P3|nNEG,64,6,481,49,0.9142857142857143,0.5663716814159292,0.6994535519125683
86,ja_fam,negation2,P1|P2|NEG|N1,3,0,487,110,1.0,0.02654867256637168,0.05172413793103448
87,ja_fam,negation2,P1|P3|nNEG|N1,21,6,481,92,0.7777777777777778,0.18584070796460178,0.30000000000000004
88,ja_fam,numerals1,P1|NEG,24,0,576,0,1.0,1.0,1.0
89,ja_fam,numerals1,P1|NEG|N1,24,0,576,0,1.0,1.0,1.0
90,ja_fam,numerals1,P1|NEG|N2,24,0,576,0,1.0,1.0,1.0
91,ja_fam,numerals1,P1|NEG|N1|N2,24,0,576,0,1.0,1.0,1.0
92,ja_fam,numerals1,P1|P2|NEG,0,0,576,24,0.0,0.0,0.0
93,ja_fam,numerals1,P1|P2|NEG|N1,0,0,576,24,0.0,0.0,0.0
94,ja_fam,numerals1,P1|P2|NEG|N2,0,0,576,24,0.0,0.0,0.0
95,ja_fam,numerals1,P1|P2|NEG|N1|N2,0,0,576,24,0.0,0.0,0.0
96,ja_fam,numerals1,P1|P2|P3|NEG,0,0,576,24,0.0,0.0,0.0
97,ja_fam,numerals1,P1|P2|P3|NEG|N1,0,0,576,24,0.0,0.0,0.0
98,ja_fam,numerals1,P1|P2|P3|NEG|N2,0,0,576,24,0.0,0.0,0.0
99,ja_fam,numerals1,P1|P2|P3|NEG|N1|N2,0,0,576,24,0.0,0.0,0.0
100,ja_fam,numerals2,P1|NEG,26,3,571,0,0.896551724137931,1.0,0.9454545454545454
101,ja_fam,numerals2,P1|NEG|N1,26,3,571,0,0.896551724137931,1.0,0.9454545454545454
102,ja_fam,numerals2,P1|NEG|N2,26,1,573,0,0.9629629629629629,1.0,0.9811320754716981
103,ja_fam,numerals2,P1|NEG|N1|N2,26,1,573,0,0.9629629629629629,1.0,0.9811320754716981
104,ja_fam,numerals2,P1|P2|NEG,4,3,571,22,0.5714285714285714,0.15384615384615385,0.24242424242424246
105,ja_fam,numerals2,P1|P2|NEG|N1,4,3,571,22,0.5714285714285714,0.15384615384615385,0.24242424242424246
106,ja_fam,numerals2,P1|P2|NEG|N2,4,1,573,22,0.8,0.15384615384615385,0.25806451612903225
107,ja_fam,numerals2,P1|P2|NEG|N1|N2,4,1,573,22,0.8,0.15384615384615385,0.25806451612903225
